"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_BLIND_001","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_ENC_005","0"
"0","E2E Security Tests","0","XPATH","1","0","XPATH_BLIND_001","0"
"0","E2E Security Tests","0","XXE","1","0","XXE_ENTITY_004","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_PROC_003","0"
"0","E2E Security Tests","0","XXE","1","0","XXE_ENTITY_002","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_DOM_006","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_NORM_001","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_ERROR_010","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_BASIC_002","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_MUT_004","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_REFL_015","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_BASIC_004","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_BASIC_009","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_ABS_004","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_BLIND_002","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_DOT_004","0"
"0","E2E Security Tests","0","XPATH","1","0","XPATH_BOOL_001","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_TIME_007","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_DOT_009","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_BASIC_006","0"
"0","E2E Security Tests","0","SSTI","1","0","SSTI_MAKO_001","0"
"0","E2E Security Tests","0","SSTI","1","0","SSTI_PEBBLE_001","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_REFL_005","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_REFL_001","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_POLY_003","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_BOOL_003","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_BLIND_004","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_BLIND_003","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_UNION_006","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_ENV_001","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_TRUNC_001","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_REVSH_003","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_DOM_001","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_ABS_007","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_BLIND_005","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_ABS_008","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_BASIC_019","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_DOT_006","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_ENC_003","0"
"0","E2E Security Tests","0","OTHER","1","0","EMRG_MONGO_002","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_POLY_001","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_BASIC_018","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_BYPASS_001","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_POLY_001","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_BASIC_007","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_UNION_001","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_BOOL_014","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_POLY_004","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_DOM_003","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_TIME_002","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_DOM_014","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_TIME_016","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_SUB_002","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_TRUNC_002","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_ERROR_007","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_REFL_002","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_BOOL_011","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_DBL_001","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_ADV_001","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_NEST_002","0"
"0","E2E Security Tests","0","XXE","1","0","XXE_ENTITY_003","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_FILE_002","0"
"0","E2E Security Tests","0","API_SECURITY","1","0","API_BOLA_001","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_BYPASS_009","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_DOM_013","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_WIN_001","0"
"0","E2E Security Tests","0","NOSQL_EXTENDED","1","0","NOSQL_MONGO_001","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_POLY_006","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_ADV_003","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_ERROR_005","0"
"0","E2E Security Tests","0","GRAPHQL","1","0","GQL_SQLI_001","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_BASIC_008","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_TIME_005","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_ENC_003","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_MUT_002","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_BYPASS_004","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_SENS_003","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_BYPASS_001","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_STACK_003","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_BASIC_003","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_DOM_004","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_BOOL_009","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_ADV_004","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_BOOL_001","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_BYPASS_010","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_BYPASS_006","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_STORED_001","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_BLIND_003","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_BYPASS_005","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_BASIC_017","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_REFL_014","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_BLIND_005","0"
"0","E2E Security Tests","0","XPATH","1","0","XPATH_PAREN_001","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_BOOL_012","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_PROC_002","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_REVSH_002","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_UNION_007","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_BLIND_007","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_NEST_003","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_TIME_003","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_DOT_007","0"
"0","E2E Security Tests","0","LDAP","1","0","LDAP_BASIC_003","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_SENS_001","0"
"0","E2E Security Tests","0","LDAP","1","0","LDAP_BLIND_002","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_ERROR_009","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_ABS_002","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_BASIC_004","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_BACK_001","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_ENC_001","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_ENC_006","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_MUT_003","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_BLIND_010","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_DOM_002","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_DOM_012","0"
"0","E2E Security Tests","0","XXE","1","0","XXE_ENTITY_001","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_BOOL_004","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_WIN_001","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_REVSH_001","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_BLIND_009","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_ABS_003","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_BYPASS_009","0"
"0","E2E Security Tests","0","OTHER","1","0","OTHER_REDIS_001","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_ERR_001","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_WIN_004","0"
"0","E2E Security Tests","0","OTHER","1","0","OTHER_API_001","0"
"0","E2E Security Tests","0","NOSQL_EXTENDED","1","0","NOSQL_COUCH_001","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_PIPE_001","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_BYPASS_007","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_TIME_004","0"
"0","E2E Security Tests","0","LDAP","1","0","LDAP_BASIC_004","0"
"0","E2E Security Tests","0","XPATH","1","0","XPATH_FUNC_001","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_ENC_004","0"
"0","E2E Security Tests","0","XXE","1","0","XXE_NETDOC_001","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_REFL_011","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_BYPASS_007","0"
"0","E2E Security Tests","0","LDAP","1","0","LDAP_BLIND_001","0"
"0","E2E Security Tests","0","LDAP","1","0","LDAP_BASIC_002","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_MUT_001","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_ERROR_006","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_BYPASS_006","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_BYPASS_002","0"
"0","E2E Security Tests","0","SSTI","1","0","SSTI_VEL_002","0"
"0","E2E Security Tests","0","XXE","1","0","XXE_BILLION_001","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_ADV_002","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_TIME_015","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_ENC_001","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_ERROR_003","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_SUB_003","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_ADV_005","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_BYPASS_008","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_BOOL_002","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_BASIC_012","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_UNION_004","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_DOT_003","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_ENC_002","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_DBL_003","0"
"0","E2E Security Tests","0","LDAP","1","0","LDAP_BLIND_003","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_BYPASS_004","0"
"0","E2E Security Tests","0","GRAPHQL","1","0","GQL_DATA_001","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_BASIC_002","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_FILE_001","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_DOM_010","0"
"0","E2E Security Tests","0","OTHER","1","0","EMRG_MONGO_005","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_BASIC_014","0"
"0","E2E Security Tests","0","SSTI","1","0","SSTI_SMARTY_001","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_TIME_006","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_STACK_004","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_STACK_002","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_BYPASS_005","0"
"0","E2E Security Tests","0","NOSQL_EXTENDED","1","0","NOSQL_MONGO_002","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_BYPASS_008","0"
"0","E2E Security Tests","0","SSTI","1","0","SSTI_VEL_001","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_BASH_001","0"
"0","E2E Security Tests","0","GRAPHQL","1","0","GQL_INTRO_002","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_BASIC_015","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_DOM_007","0"
"0","E2E Security Tests","0","NOSQL_EXTENDED","1","0","NOSQL_REDIS_001","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_TIME_010","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_TIME_014","0"
"0","E2E Security Tests","0","SSTI","1","0","SSTI_THYME_001","0"
"0","E2E Security Tests","0","NOSQL_EXTENDED","1","0","NOSQL_MONGO_003","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_POLY_005","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_SUB_005","0"
"0","E2E Security Tests","0","SSTI","1","0","SSTI_FREEMKR_001","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_TIME_013","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_REFL_010","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_REFL_008","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_UNION_003","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_ERR_002","0"
"0","E2E Security Tests","0","API_SECURITY","1","0","API_IDOR_001","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_BASIC_013","0"
"0","E2E Security Tests","0","GRAPHQL","1","0","GQL_INTRO_003","0"
"0","E2E Security Tests","0","LDAP","1","0","LDAP_BLIND_005","0"
"0","E2E Security Tests","0","OTHER","1","0","OTHER_PHP_001","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_BASIC_011","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_BLIND_001","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_TIME_001","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_REFL_009","0"
"0","E2E Security Tests","0","NOSQL_EXTENDED","1","0","NOSQL_COUCH_002","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_BOOL_010","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_ABS_005","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_BOOL_008","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_DOM_008","0"
"0","E2E Security Tests","0","LDAP","1","0","LDAP_BLIND_004","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_SENS_002","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_POLY_002","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_REFL_004","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_TIME_018","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_BASIC_003","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_BASIC_005","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_BASIC_020","0"
"0","E2E Security Tests","0","LDAP","1","0","LDAP_BASIC_001","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_BOOL_013","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_DOM_015","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_BOOL_007","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_STACK_005","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_DOT_005","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_TIME_009","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_ABS_001","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_FILE_003","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_NULL_001","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_STACK_001","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_ENC_002","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_POLY_007","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_DOT_008","0"
"0","E2E Security Tests","0","API_SECURITY","1","0","API_MASS_001","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_DOT_001","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_WIN_002","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_BLIND_006","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_NORM_002","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_ADV_006","0"
"0","E2E Security Tests","0","OTHER","1","0","EMRG_MONGO_004","0"
"0","E2E Security Tests","0","XPATH","1","0","XPATH_ENUM_001","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_UNION_005","0"
"0","E2E Security Tests","0","NOSQL_EXTENDED","1","0","NOSQL_REDIS_002","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_NORM_003","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_NEST_001","0"
"0","E2E Security Tests","0","OTHER","1","0","OTHER_JAVA_001","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_TIME_011","0"
"0","E2E Security Tests","0","OTHER","1","0","EMRG_MONGO_003","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_TIME_012","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_2ND_003","0"
"0","E2E Security Tests","0","API_SECURITY","1","0","API_PROTO_001","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_BLIND_008","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_ERROR_008","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_REFL_006","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_WIN_005","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_BYPASS_003","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_BASIC_010","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_BASIC_SEMICOLON_001","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_REFL_012","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_SUB_004","0"
"0","E2E Security Tests","0","SSTI","1","0","SSTI_JINJA_001","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_DOM_011","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_ENV_003","0"
"0","E2E Security Tests","0","OTHER","1","0","EMRG_MONGO_001","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_ABS_006","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_BYPASS_010","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_SUB_001","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_UNICODE_001","0"
"0","E2E Security Tests","0","LDAP","1","0","LDAP_BASIC_005","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_BASIC_005","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_2ND_002","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_REFL_003","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_ENV_002","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_BASIC_001","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_BASIC_016","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_BYPASS_003","0"
"0","E2E Security Tests","0","SSTI","1","0","SSTI_TWIG_001","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_REFL_013","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_DOM_009","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_UNICODE_002","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_UNION_002","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_WIN_003","0"
"0","E2E Security Tests","0","XXE","1","0","XXE_JAR_001","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_TIME_017","0"
"0","E2E Security Tests","0","API_SECURITY","1","0","API_JWT_001","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_2ND_001","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_DBL_002","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_MUT_005","0"
"0","E2E Security Tests","0","OTHER","1","0","OTHER_JINJA_001","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_DOT_010","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_TIME_008","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_BLIND_004","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_PROC_001","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_ENC_002","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_REFL_007","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_BYPASS_002","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_BOOL_005","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_ENC_001","0"
"0","E2E Security Tests","0","SSTI","1","0","SSTI_JINJA_002","0"
"0","E2E Security Tests","0","XXE","1","0","XXE_ENTITY_005","0"
"0","E2E Security Tests","0","XSS","1","0","XSS_DOM_005","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_BOOL_006","0"
"0","E2E Security Tests","0","GRAPHQL","1","0","GQL_INTRO_001","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_2ND_004","0"
"0","E2E Security Tests","0","CMDINJ","1","0","CMD_BLIND_002","0"
"0","E2E Security Tests","0","SQLI","1","0","SQLI_BOOL_015","0"
"0","E2E Security Tests","0","PATH","1","0","PATH_DOT_002","0"
